Instituto Superior de Engenharia de Lisboa
    Laborat¢rio de Controlo de Sistemas


   Data: 05/04/22
   Hora: 11:19:46

UNIDADES:
   Tempo : seg.
   Canais: mV

POSICAO_DAS_VALVULAS:
   Valvula_A: 0
   Valvula_B: 2
   Valvula_C: 0

PARAMETROS_DO_CONTROLADOR:
   KP=2
   KI=0.1

Controlo: Nivel1

       Tabela de Dados



  Tempo  SetPoint  Nivel1   Caudal 
      69  3999,76   4420,3  2221,14
    69,5  3999,76  4412,98  2221,14
      70  3999,76  4397,11  2222,97
    70,5  3999,76  4375,13  2227,24
      71  3999,76  4367,81  2223,58
    71,5  3999,76   4355,6   2230,9
      72  3999,76  4344,61  2244,33
    72,5  3999,76  4343,39  2237,62
      73  3999,76  4322,64  2225,41
    73,5  3999,76  4325,69  2222,97
      74  3999,76  4303,11  2226,02
    74,5  3999,76  4298,23  2235,79
      75  3999,76  4283,58  2226,63
    75,5  3999,76  4278,08  2227,85
      76  3999,76   4261,6  2250,43
    76,5  3999,76  4256,72  2264,47
      77  3999,76  4240,85  2285,23
    77,5  3999,76  4229,87  2269,97
      78  3999,76  4227,42  2273,02
    78,5  3999,76  4211,55  2291,33
      79  3999,76  4195,68   2318,8
    79,5  3999,76  4187,14  2340,16
      80  3999,76  4182,87  2337,72
    80,5  3999,76   4173,1  2350,54
      81  3999,76   4173,1  2363,96
    81,5  3999,76  4160,89  2384,72
      82  3999,76  4159,06  2386,55
    82,5  3999,76  4140,14  2384,11
      83  3999,76  4134,04  2397,53
    83,5  3999,76  4129,76  2415,85
      84  3999,76     4120  2419,51
    84,5  3999,76  4113,28  2426,83
      85  3999,76  4103,52  2437,82
    85,5  3999,76  4103,52  2450,64
      86  3999,76  4093,14  2461,01
    86,5  3999,76  4088,26   2478,1
      87  3999,76  4077,88  2485,43
    87,5  3999,76  4067,51  2481,15
      88  3999,76  4063,23  2493,36
    88,5  3999,76  4054,08  2509,23
      89  3999,76  4052,25  2516,56
    89,5  3999,76  4045,53  2540,36
      90  3999,76  4040,04  2541,58
    90,5  3999,76  4038,82  2562,33
      91  3999,76  4028,44  2567,83
    91,5  3999,76  4027,22  2572,71
      92  3999,76  4021,12  2594,07
    92,5  3999,76  4017,46  2590,41
      93  3999,76  4013,79  2603,23
    93,5  3999,76  4010,13  2623,98
      94  3999,76  4008,91  2633,75
    94,5  3999,76  4002,81  2658,16
      95  3999,76  3989,99  2663,05
    95,5  3999,76  3986,33  2672,81
      96  3999,76  3983,89  2677,08
    96,5  3999,76  3983,89  2681,97
      97  3999,76  3977,78  2695,39
    97,5  3999,76  3969,24  2710,04
      98  3999,76  3971,68  2727,74
    98,5  3999,76  3964,96  2749,11
      99  3999,76  3964,96  2765,59
    99,5  3999,76  3961,91  2764,98
     100  3999,76   3955,2  2770,47
   100,5  3999,76  3958,25  2764,98
     101  3999,76  3958,86  2787,56
   101,5  3999,76  3954,59  2798,55
     102  3999,76  3946,65  2821,74
   102,5  3999,76  3955,81     2837
     103  3999,76  3949,71  2861,42
   103,5  3999,76   3943,6  2867,52
     104  3999,76  3941,16  2855,31
   104,5  3999,76  3946,65  2852,26
     105  3999,76  3941,77  2863,25
   105,5  3999,76  3942,99  2879,73
     106  3999,76  3944,21  2873,62
   106,5  3999,76  3934,45  2871,79
     107  3999,76  3933,23  2871,18
   107,5  3999,76  3936,28  2896,21
     108  3999,76  3932,61  2908,41
   108,5  3999,76  3931,39  2915,74
     109  3999,76  3924,68   2919,4
   109,5  3999,76  3930,78  2921,84
     110  3999,76  3933,84  2927,34
   110,5  3999,76  3936,28  2933,44
     111  3999,76  3927,73  2929,17
   111,5  3999,76  3929,56  2926,11
     112  3999,76  3930,78  2933,44
   112,5  3999,76  3926,51  2936,49
     113  3999,76  3927,12  2960,91
   113,5  3999,76  3927,12  2962,74
     114  3999,76  3930,78  2981,05
   114,5  3999,76  3925,29  2987,76
     115  3999,76  3926,51   2972,5
   115,5  3999,76  3921,63  2962,13
     116  3999,76  3929,56  2967,62
   116,5  3999,76  3925,29  2973,72
     117  3999,76  3927,73  2979,22
   117,5  3999,76  3924,07  2971,28
     118  3999,76   3925,9  2985,93
   118,5  3999,76  3935,67  3004,85
     119  3999,76  3929,56   3019,5
   119,5  3999,76  3927,12  3015,84
     120  3999,76  3925,29  3002,41
   120,5  3999,76  3927,12  3023,16
     121  3999,76     3932  3028,05
   121,5  3999,76  3930,17  3035,37
     122  3999,76  3932,61  3047,58
   122,5  3999,76  3926,51  3057,95
     123  3999,76  3929,56   3060,4
   123,5  3999,76  3929,56  3064,06
     124  3999,76  3927,12  3056,12
   124,5  3999,76  3929,56  3061,62
     125  3999,76  3933,84  3076,88
   125,5  3999,76  3935,06  3073,21
     126  3999,76  3938,11   3084,2
   126,5  3999,76  3945,43  3069,55
     127  3999,76  3938,11  3058,56
   127,5  3999,76  3941,16  3045,14
     128  3999,76  3939,94  3041,47
   128,5  3999,76  3945,43  3055,51
     129  3999,76  3942,99  3056,73
   129,5  3999,76  3946,04  3046,36
     130  3999,76  3938,72  3035,37
   130,5  3999,76  3944,82  3044,53
     131  3999,76  3939,94  3050,02
   131,5  3999,76  3944,82  3046,97
     132  3999,76  3950,93  3056,73
   132,5  3999,76  3946,04  3068,33
     133  3999,76  3952,15   3072,6
   133,5  3999,76  3951,54  3053,68
     134  3999,76  3952,76  3062,23
   134,5  3999,76  3965,58  3067,72
     135  3999,76  3949,71  3076,27
   135,5  3999,76  3952,15  3065,89
     136  3999,76  3950,93  3067,11
   136,5  3999,76  3958,25  3084,81
     137  3999,76  3959,47  3098,85
   137,5  3999,76  3957,64  3093,97
     138  3999,76  3957,03  3077,49
   138,5  3999,76  3962,52   3060,4
     139  3999,76  3958,86  3059,18
   139,5  3999,76  3969,24  3071,99
     140  3999,76  3966,19  3059,79
   140,5  3999,76  3960,69  3070,16
     141  3999,76  3971,07  3073,21
   141,5  3999,76  3965,58  3076,88
     142  3999,76  3968,02  3082,37
   142,5  3999,76  3974,12  3089,08
     143  3999,76   3972,9  3076,88
   143,5  3999,76  3973,51  3076,27
     144  3999,76  3973,51  3068,94
   144,5  3999,76   3972,9  3064,06
     145  3999,76  3977,17  3071,38
   145,5  3999,76   3966,8  3052,46
     146  3999,76  3969,24  3046,97
   146,5  3999,76  3969,24  3050,02
     147  3999,76   3972,9  3049,41
   147,5  3999,76  3978,39  3059,79
     148  3999,76  3975,34  3057,34
   148,5  3999,76  3978,39  3046,36
     149  3999,76  3977,17  3044,53
   149,5  3999,76  3982,67   3048,8
