Instituto Superior de Engenharia de Lisboa
    Laborat¢rio de Controlo de Sistemas


   Data: 05/04/22
   Hora: 11:44:40

UNIDADES:
   Tempo : seg.
   Canais: mV

POSICAO_DAS_VALVULAS:
   Valvula_A: 0
   Valvula_B: 2
   Valvula_C: 0

PARAMETROS_DO_CONTROLADOR:
   KP=2
   KI=0.4

Controlo: Nivel1

       Tabela de Dados



  Tempo  SetPoint  Nivel1   Caudal 
    68,5  3999,76  4958,65  3,05185
      69  3999,76  4919,58  8,54518
    69,5  3999,76  4881,13  8,54518
      70  3999,76  4845,12  4,27259
    70,5  3999,76   4796,9  4,27259
      71  3999,76  4757,23  1,22074
    71,5  3999,76   4714,5  3,66222
      72  3999,76  4678,49  1,22074
    72,5  3999,76  4632,71  2,44148
      73  3999,76  4593,04  2,44148
    73,5  3999,76  4553,97  7,93481
      74  3999,76  4518,57  7,93481
    74,5  3999,76  4470,35  5,49333
      75  3999,76  4433,12   6,1037
    75,5  3999,76  4392,83  4,88296
      76  3999,76  4356,82  1,83111
    76,5  3999,76   4314,1  1,83111
      77  3999,76  4269,54        0
    77,5  3999,76  4232,31  10,9867
      78  3999,76  4193,24  3,66222
    78,5  3999,76  4156,62  1,83111
      79  3999,76  4115,12  3,66222
    79,5  3999,76  4076,05  3,66222
      80  3999,76  4045,53  3,66222
    80,5  3999,76  4007,08  3,66222
      81  3999,76  3957,64  3,66222
    81,5  3999,76  3921,63  0,61037
      82  3999,76  3889,89  0,61037
    82,5  3999,76  3840,45  1,22074
      83  3999,76  3798,94  3,66222
    83,5  3999,76  3766,59  10,9867
      84  3999,76  3728,14  4,88296
    84,5  3999,76  3692,13  4,88296
      85  3999,76  3648,18  4,27259
    85,5  3999,76  3610,95        0
      86  3999,76  3574,94        0
    86,5  3999,76  3533,43  2,44148
      87  3999,76  3492,54  2,44148
    87,5  3999,76   3454,7  7,93481
      88  3999,76  3427,23  5,49333
    88,5  3999,76  3383,89  1,83111
      89  3999,76  3346,05  1,83111
    89,5  3999,76   3307,6  1,83111
      90  3999,76  3275,25  3,05185
    90,5  3999,76  3235,57  2,44148
      91  3999,76  3206,27  2,44148
    91,5  3999,76  3161,72  2,44148
      92  3999,76  3120,82  4,88296
    92,5  3999,76  3086,64  1,22074
      93  3999,76  3058,56        0
    93,5  3999,76  3020,11  6,71407
      94  3999,76  2978,61   6,1037
    94,5  3999,76  2938,32  0,61037
      95  3999,76  2905,97        0
    95,5  3999,76  2862,03  4,27259
      96  3999,76  2835,78  4,27259
    96,5  3999,76  2791,22  4,27259
      97  3999,76  2755,21   6,1037
    97,5  3999,76  2724,08  3,66222
      98  3999,76  2685,02  6,71407
    98,5  3999,76  2655,72  6,71407
      99  3999,76  2620,93  6,71407
    99,5  3999,76  2582,48  6,71407
     100  3999,76  2548,91  6,71407
   100,5  3999,76  2511,06  3,05185
     101  3999,76  2468,95  5,49333
   101,5  3999,76  2437,21  4,27259
     102  3999,76  2402,42  4,27259
   102,5  3999,76  2365,79  4,27259
     103  3999,76  2335,28   6,1037
   103,5  3999,76  2305,37        0
     104  3999,76   2260,2        0
   104,5  3999,76  2224,19  4,27259
     105  3999,76  2190,62  4,27259
   105,5  3999,76  2157,05  4,27259
     106  3999,76  2119,21        0
   106,5  3999,76  2090,52        0
     107  3999,76  2053,29        0
   107,5  3999,76  2016,66  5,49333
     108  3999,76  1980,65  4,88296
   108,5  3999,76  1942,81  4,88296
     109  3999,76  1914,12  2,44148
   109,5  3999,76  1878,72  5,49333
     110  3999,76  1850,03  5,49333
   110,5  3999,76  1817,07  33,5704
     111  3999,76  1794,49  33,5704
   111,5  3999,76   1801,2  1436,81
     112  3999,76  1798,15  1436,81
   112,5  3999,76   1818,9  2928,56
     113  3999,76   1830,5  2928,56
   113,5  3999,76  1853,08  4121,83
     114  3999,76  1892,15  4121,83
   114,5  3999,76  1938,54  5118,56
     115  3999,76  1981,26  5118,56
   115,5  3999,76  2035,58  6016,42
     116  3999,76   2083,8  6016,42
   116,5  3999,76  2146,67  6787,32
     117  3999,76  2206,49  6787,32
   117,5  3999,76  2277,29  7489,85
     118  3999,76  2349,31  7489,85
   118,5  3999,76  2416,46  8108,16
     119  3999,76  2493,97  8108,16
   119,5  3999,76  2582,48  8606,83
     120  3999,76  2645,95  8606,83
   120,5  3999,76  2741,17  8996,25
     121  3999,76  2845,55  9171,42
   121,5  3999,76  2926,11  9338,66
     122  3999,76  2998,75  9461,96
   122,5  3999,76  3080,54  9554,74
     123  3999,76  3181,25  9620,04
   123,5  3999,76   3266,7  9676,81
     124  3999,76  3369,24  9732,35
   124,5  3999,76  3452,25  9737,85
     125  3999,76  3512,07  9717,09
   125,5  3999,76  3601,79  9681,08
     126  3999,76  3691,52  9632,86
   126,5  3999,76  3781,24  9572,44
     127  3999,76  3878,29  9512,01
   127,5  3999,76  3963,13  9418,62
     128  3999,76  4040,65  9302,65
   128,5  3999,76  4124,27  9159,21
     129  3999,76  4204,23  8984,04
   129,5  3999,76  4287,85  8790,55
     130  3999,76  4346,45  8619,65
   130,5  3999,76  4406,87  8619,65
     131  3999,76  4481,34  8150,88
   131,5  3999,76   4555,8  8150,88
     132  3999,76  4613,18  7688,83
   132,5  3999,76  4660,79  7688,83
     133  3999,76  4713,89   7204,2
   133,5  3999,76  4768,21   7204,2
     134  3999,76  4813,38  6659,14
   134,5  3999,76   4861,6  6659,14
     135  3999,76  4900,66  6067,08
   135,5  3999,76  4930,57  6067,08
     136  3999,76  4958,04  5495,16
   136,5  3999,76  4986,11  5495,16
     137  3999,76   5003,2  4967,19
   137,5  3999,76  5021,52  4967,19
     138  3999,76  5036,77  4411,76
   138,5  3999,76  5052,64  4411,76
     139  3999,76  5054,48  3877,68
   139,5  3999,76  5061,19  3877,68
     140  3999,76   5055,7  3346,05
   140,5  3999,76  5054,48  3346,05
     141  3999,76  5042,27  2815,64
   141,5  3999,76  5030,67  2815,64
     142  3999,76  5012,97  2299,87
   142,5  3999,76  5006,26  2299,87
     143  3999,76  4974,52  1757,87
   143,5  3999,76  4958,04  1757,87
     144  3999,76  4919,58  1148,11
   144,5  3999,76  4884,18  1148,11
     145  3999,76  4848,78  367,443
   145,5  3999,76  4807,89  193,487
     146  3999,76  4763,94  104,984
   146,5  3999,76  4724,27  54,9333
     147  3999,76  4682,15   37,843
   147,5  3999,76   4638,2  18,3111
     148  3999,76  4606,46  14,0385
   148,5  3999,76  4560,69  9,15555
     149  3999,76  4530,78  9,15555
   149,5  3999,76  4483,17  5,49333
     150  3999,76  4445,33  6,71407
   150,5  3999,76  4401,38  7,93481
     151  3999,76  4358,04  7,32444
   151,5  3999,76  4324,47  4,88296
     152  3999,76  4285,41  10,9867
   152,5  3999,76  4237,19  8,54518
     153  3999,76  4201,18  5,49333
   153,5  3999,76  4167,61  7,32444
     154  3999,76  4129,15  3,05185
   154,5  3999,76  4088,26  10,9867
     155  3999,76  4044,31  4,27259
   155,5  3999,76  4010,74  12,2074
     156  3999,76  3968,02  0,61037
   156,5  3999,76  3928,34   6,1037
     157  3999,76  3889,28        0
