Instituto Superior de Engenharia de Lisboa
    Laborat¢rio de Controlo de Sistemas


   Data: 05/04/22
   Hora: 12:11:01

UNIDADES:
   Tempo : seg.
   Canais: mV

POSICAO_DAS_VALVULAS:
   Valvula_A: 5
   Valvula_B: 0
   Valvula_C: 2.5

PARAMETROS_DO_CONTROLADOR:
   KP=3
   KI=0.3

Controlo: Nivel2

       Tabela de Dados



  Tempo  SetPoint  Nivel2   Caudal 
    68,5  3999,76  5833,92  9991,15
      69  3999,76  5871,15  9994,81
    69,5  3999,76  5931,58  9995,42
      70  3999,76  5962,71  9993,59
    70,5  3999,76  5996,89  9992,37
      71  3999,76  6046,94  9986,88
    71,5  3999,76  6082,34  9981,38
      72  3999,76  6122,01  9977,11
    72,5  3999,76  6169,01  9956,36
      73  3999,76  6201,97  9949,03
    73,5  3999,76  6251,41  9963,68
      74  3999,76  6283,76  9963,68
    74,5  3999,76  6325,88  9961,85
      75  3999,76  6369,21  9964,29
    75,5  3999,76  6405,83  9971,62
      76  3999,76  6454,66  9992,37
    76,5  3999,76   6486,4  9994,81
      77  3999,76  6521,81  9994,81
    77,5  3999,76  6564,53  9994,81
      78  3999,76  6602,98   9988,1
    78,5  3999,76  6637,78  9953,92
      79  3999,76  6682,94  9796,44
    79,5  3999,76  6734,82  9796,44
      80  3999,76  6763,51  8790,55
    80,5  3999,76  6795,25  8790,55
      81  3999,76  6836,76  7576,52
    81,5  3999,76  6870,94  7576,52
      82  3999,76   6898,4  6563,31
    82,5  3999,76  6937,47  6563,31
      83  3999,76   6963,1  5568,41
    83,5  3999,76  6994,23  5568,41
      84  3999,76  7008,88  4577,17
    84,5  3999,76  7027,19  4577,17
      85  3999,76  7046,72  3574,33
    85,5  3999,76  7061,98  3574,33
      86  3999,76   7068,7  2495,19
    86,5  3999,76  7085,18  2495,19
      87  3999,76  7082,74  1413,01
    87,5  3999,76  7075,41  1413,01
      88  3999,76  7077,24  438,856
    88,5  3999,76  7062,59  438,856
      89  3999,76     7051  127,567
    89,5  3999,76  7034,52  68,3615
      90  3999,76  7025,97  40,8948
    90,5  3999,76  6999,11  26,2459
      91  3999,76  6983,86  25,6355
    91,5  3999,76     6957  19,5318
      92  3999,76  6933,81  17,0904
    92,5  3999,76  6910,61  12,2074
      93  3999,76  6886,81  9,15555
    93,5  3999,76  6856,29  10,9867
      94  3999,76  6835,54   11,597
    94,5  3999,76  6808,68  12,8178
      95  3999,76  6781,21  9,15555
    95,5  3999,76  6753,75  10,3763
      96  3999,76  6731,16  17,0904
    96,5  3999,76  6699,42   11,597
      97  3999,76  6671,35  7,93481
    97,5  3999,76  6649,37  4,88296
      98  3999,76  6626,79  9,15555
    98,5  3999,76  6596,88  5,49333
      99  3999,76  6572,47  4,27259
    99,5  3999,76  6548,05  8,54518
     100  3999,76  6511,43  7,32444
   100,5  3999,76  6493,73   6,1037
     101  3999,76  6466,87  3,66222
   101,5  3999,76  6441,24  4,88296
     102  3999,76   6409,5  3,05185
   102,5  3999,76  6388,13   6,1037
     103  3999,76  6357,62  4,27259
   103,5  3999,76  6330,76  3,66222
     104  3999,76  6308,79   6,1037
   104,5  3999,76  6278,88  7,32444
     105  3999,76  6255,07  3,05185
   105,5  3999,76  6227,61  3,05185
     106  3999,76  6208,08  4,88296
   106,5  3999,76  6176,95  8,54518
     107  3999,76  6151,92  8,54518
   107,5  3999,76  6125,06   6,1037
     108  3999,76  6101,87  3,66222
   108,5  3999,76  6075,62  9,76592
     109  3999,76  6049,99  8,54518
   109,5  3999,76  6016,42  7,32444
     110  3999,76   5997,5  3,66222
   110,5  3999,76  5973,69  1,83111
     111  3999,76  5939,51  2,44148
   111,5  3999,76  5918,76  4,27259
     112  3999,76  5889,46  7,93481
   112,5  3999,76  5864,44        0
     113  3999,76  5847,35  5,49333
   113,5  3999,76  5812,56  0,61037
     114  3999,76  5790,58  3,66222
   114,5  3999,76   5762,5  6,71407
     115  3999,76  5741,75  6,71407
   115,5  3999,76  5715,51  1,83111
     116  3999,76   5691,7   6,1037
   116,5  3999,76  5669,73  9,15555
     117  3999,76  5635,55  4,88296
   117,5  3999,76  5608,69  5,49333
     118  3999,76  5583,67        0
   118,5  3999,76  5562,91  7,93481
     119  3999,76  5537,28   6,1037
   119,5  3999,76  5510,42  2,44148
     120  3999,76   5485,4  1,22074
   120,5  3999,76  5462,81  10,3763
     121  3999,76  5437,79  10,3763
   121,5  3999,76  5411,54  3,05185
     122  3999,76   5385,3  7,93481
   122,5  3999,76  5357,22  7,93481
     123  3999,76  5327,31  5,49333
   123,5  3999,76  5304,73  5,49333
     124  3999,76   5279,7  7,93481
   124,5  3999,76  5257,73  1,22074
     125  3999,76  5228,43  4,88296
   125,5  3999,76  5205,85  0,61037
     126  3999,76  5175,94  0,61037
   126,5  3999,76   5155,8  4,27259
     127  3999,76  5133,82  3,66222
   127,5  3999,76  5102,08  1,22074
     128  3999,76  5080,72  4,88296
   128,5  3999,76  5056,92  1,22074
     129  3999,76  5034,94  0,61037
   129,5  3999,76  5005,04  2,44148
     130  3999,76  4980,01  2,44148
   130,5  3999,76  4965,36  3,66222
     131  3999,76  4931,79  4,88296
   131,5  3999,76   4908,6  3,05185
     132  3999,76  4884,18  6,71407
   132,5  3999,76  4855,49  1,22074
     133  3999,76  4836,57  4,27259
   133,5  3999,76  4809,11  1,22074
     134  3999,76  4788,35  4,88296
   134,5  3999,76  4757,84  5,49333
     135  3999,76  4730,98  6,71407
   135,5  3999,76  4710,23  6,71407
     136  3999,76  4686,42  2,44148
   136,5  3999,76  4660,79  2,44148
     137  3999,76   4632,1  4,27259
   137,5  3999,76  4608,91  4,27259
     138  3999,76   4591,2  9,76592
   138,5  3999,76  4560,69  2,44148
     139  3999,76  4536,88  5,49333
   139,5  3999,76  4511,86  3,05185
     140  3999,76  4488,66  1,22074
   140,5  3999,76   4467,3  6,71407
     141  3999,76  4447,16  3,66222
   141,5  3999,76  4412,98  3,05185
     142  3999,76  4398,33   6,1037
   142,5  3999,76  4365,98  1,22074
     143  3999,76  4348,28  0,61037
   143,5  3999,76  4318,98  4,27259
     144  3999,76  4297,01  3,66222
   144,5  3999,76  4276,86  3,66222
     145  3999,76  4250,62  3,05185
   145,5  3999,76  4223,15  6,71407
     146  3999,76  4203,01        0
   146,5  3999,76  4174,93  7,32444
     147  3999,76   4155,4  3,66222
   147,5  3999,76  4127,32  1,22074
     148  3999,76  4107,18  0,61037
   148,5  3999,76  4087,04  3,66222
     149  3999,76   4061,4  4,88296
   149,5  3999,76  4038,82  9,15555
     150  3999,76  4011,96  5,49333
   150,5  3999,76  3988,77   6,1037
     151  3999,76  3967,41  6,71407
   151,5  3999,76  3933,84  0,61037
     152  3999,76  3913,08  3,66222
   152,5  3999,76  3888,67  2,44148
     153  3999,76  3872,19  5,49333
   153,5  3999,76  3848,38  0,61037
     154  3999,76  3823,97  1,22074
   154,5  3999,76  3800,78  1,83111
     155  3999,76  3777,58  7,32444
   155,5  3999,76  3751,34  3,66222
     156  3999,76  3728,14  0,61037
   156,5  3999,76  3705,56  0,61037
     157  3999,76  3688,47  0,61037
   157,5  3999,76  3662,83  2,44148
     158  3999,76  3635,98  3,66222
   158,5  3999,76  3617,05   6,1037
     159  3999,76  3588,37  8,54518
   159,5  3999,76  3570,67  8,54518
     160  3999,76  3538,93  3,66222
   160,5  3999,76  3522,45        0
     161  3999,76  3497,42  3,05185
   161,5  3999,76  3480,33  6,71407
     162  3999,76  3451,64  9,15555
   162,5  3999,76  3432,72  3,05185
     163  3999,76  3410,14  4,27259
   163,5  3999,76  3383,28  4,27259
     164  3999,76  3357,04  3,05185
   164,5  3999,76  3335,67  7,32444
     165  3999,76  3309,43  3,66222
   165,5  3999,76  3295,39  1,22074
     166  3999,76  3270,97  1,22074
   166,5  3999,76  3240,46  2,44148
     167  3999,76  3223,98  3,66222
   167,5  3999,76   3195,9  3,66222
     168  3999,76  3180,64  5,49333
   168,5  3999,76  3157,45  0,61037
     169  3999,76  3138,52  3,66222
   169,5  3999,76  3112,28  3,66222
     170  3999,76  3084,81  1,83111
   170,5  3999,76  3064,06  3,05185
     171  3999,76  3042,08  4,27259
   171,5  3999,76  3020,72  4,27259
     172  3999,76   3001,8  1,83111
   172,5  3999,76  2981,66  3,66222
     173  3999,76  2957,24  3,05185
   173,5  3999,76  2932,83  9,76592
     174  3999,76  2915,13  4,27259
   174,5  3999,76  2887,05  0,61037
